,Image_path,True_label,Prediction,Scores,Confidence
0,data/test/drawing/LCE-1901-07-31-a-i0023.jpg,0,0,15.49859,0.762042
1,data/test/drawing/GDL-1956-06-30-a-i0255_6.jpg,0,0,15.144024,0.70914245
2,data/test/drawing/LCE-1908-08-12-a-i0050.jpg,0,6,16.928833,0.95778507
3,data/test/drawing/IMP-1910-05-01-a-i0094_10.jpg,0,6,12.209123,0.5502417
4,data/test/drawing/EXP-1986-07-04-a-i0361.jpg,0,6,12.565176,0.7335236
5,data/test/drawing/IMP-1949-09-30-a-i0010.jpg,0,4,10.08485,0.58186305
6,data/test/drawing/LCE-1915-12-25-a-i0042.jpg,0,6,15.225079,0.93508905
7,data/test/drawing/EXP-1972-12-02-a-i0308.jpg,0,6,11.090664,0.7095051
8,data/test/drawing/JDG-1904-10-21-a-i0066.jpg,0,0,12.554815,0.48323756
9,data/test/drawing/EXP-1957-12-06-a-i0008.jpg,0,0,12.638715,0.7627869
10,data/test/drawing/JDG-1978-10-23-a-i0020.jpg,0,6,12.188614,0.71032935
11,data/test/drawing/IMP-1946-02-01-a-i0084.jpg,0,0,11.011463,0.5100146
12,data/test/drawing/JDG-1958-02-15-a-i0052_2.jpg,0,6,9.443505,0.50875485
13,data/test/drawing/IMP-1955-01-31-a-i0053.jpg,0,4,12.023688,0.8910224
14,data/test/drawing/IMP-1992-02-10-a-i0160.jpg,0,6,12.664336,0.9183784
15,data/test/drawing/GDL-1951-10-24-a-i0014.jpg,0,3,15.151176,0.67183214
16,data/test/drawing/EXP-1914-02-11-a-i0087.jpg,0,6,13.2995825,0.74663085
17,data/test/drawing/IMP-1980-02-04-a-i0078_3.jpg,0,7,16.132597,0.99847955
18,data/test/drawing/IMP-1930-02-27-a-i0033.jpg,0,6,16.08597,0.9181239
19,data/test/drawing/IMP-1913-11-22-a-i0062.jpg,0,6,11.109926,0.5527238
20,data/test/drawing/IMP-1920-03-19-a-i0002.jpg,0,7,13.211197,0.9785296
21,data/test/drawing/IMP-1911-01-14-a-i0027.jpg,0,6,11.5896845,0.6113103
22,data/test/drawing/JDG-1971-07-24-a-i0130.jpg,0,6,10.549961,0.94184107
23,data/test/drawing/EXP-1974-04-25-a-i0418.jpg,0,4,10.492224,0.5022518
24,data/test/drawing/IMP-1989-08-28-a-i0011.jpg,0,4,10.379614,0.8550645
25,data/test/drawing/IMP-1958-03-19-a-i0167.jpg,0,6,10.84521,0.52810717
26,data/test/drawing/GDL-1949-09-03-a-i0216.jpg,0,6,10.337198,0.88125867
27,data/test/drawing/EXP-1990-11-26-a-i0245.jpg,0,6,10.05341,0.48228252
28,data/test/drawing/IMP-2000-09-15-a-i0197_3.jpg,0,6,11.915593,0.92083794
29,data/test/drawing/LCE-1919-05-03-a-i0022.jpg,0,6,9.988922,0.8707579
30,data/test/drawing/IMP-1976-01-24-a-i0073.jpg,0,5,9.166906,0.36144325
31,data/test/drawing/LCE-1908-02-29-a-i0040.jpg,0,6,12.980085,0.9480041
32,data/test/drawing/GDL-1966-04-22-a-i0067.jpg,0,0,15.431179,0.609331
33,data/test/drawing/LCE-1992-06-12-a-i0032.jpg,0,6,14.247381,0.94872004
34,data/test/drawing/IMP-1955-08-01-a-i0038.jpg,0,4,9.939598,0.7957821
35,data/test/drawing/GDL-1900-03-08-a-i0026.jpg,0,0,14.576331,0.8254098
36,data/test/drawing/EXP-1988-07-13-a-i0007.jpg,0,7,12.059067,0.8632447
37,data/test/drawing/EXP-1959-06-19-a-i0106_3.jpg,0,6,11.949922,0.9204925
38,data/test/drawing/EXP-1973-09-01-a-i0451_4.jpg,0,6,10.1195545,0.41440013
39,data/test/drawing/EXP-1994-10-24-a-i0110.jpg,0,4,10.565439,0.541246
40,data/test/drawing/JDG-1955-02-10-a-i0014.jpg,0,0,13.279612,0.6100431
41,data/test/drawing/IMP-1904-04-09-a-i0002_3.jpg,0,6,10.92252,0.49672192
42,data/test/drawing/GDL-1959-02-03-a-i0097_2.jpg,0,6,13.02931,0.61317146
